Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Afbeelding,Verzameld op
Alpro Protein Tropical 200g,"€2,09",JA,"7,5 g","7,2 g","2,2 g",344 kJ / 82 kcal,https://www.jumbo.com/producten/alpro-protein-tropical-200g-603216CUP,,2025-12-09 15:42:49
Chocomel Protein 4 x 300 ml,"€7,56",JA,,,,,https://www.jumbo.com/producten/chocomel-protein-4-x-300-ml-721750STK,,2025-12-09 15:42:51
Melkunie Protein Strawberry Flavoured Quark 3x 200 g,"€4,77",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-flavoured-quark-3x-200-g-736566STK,,2025-12-09 15:42:54
XXL Nutrition Instant Protein Oats Appel Kaneel 1KG,"€18,99",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-instant-protein-oats-appel-kaneel-1kg-699810ZK,,2025-12-09 15:42:56
Nakd. Protein Caramel 3x45g,"€3,71",JA,17.0 g,33.2 g,21.3 g,1762.0 kJ,https://www.jumbo.com/producten/nakd-protein-caramel-3x45g-645666DS,,2025-12-09 15:42:59
Coco Vite Eiwit 500 g,"€3,99",JA,10.9 g,0.7 g,0.2 g,201.0 kJ,https://www.jumbo.com/producten/coco-vite-eiwit-500-g-624271PAK,,2025-12-09 15:43:01
Bolletje Protein & Low Carb Crackers 4 x 3 Stuks 190 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/bolletje-protein-low-carb-crackers-4-x-3-stuks-190-g-586568DS,,2025-12-09 15:43:04
Muscle Meat Proteine Melk 1 L,"€2,95",JA,7.5 g,5.1 g,0.9 g,248 kJ | 59 kcal,https://www.jumbo.com/producten/muscle-meat-proteine-melk-1-l-679641PAK,,2025-12-09 15:43:06
HAK Mexicaanse Chili Protein Bowl 555g,"€3,99",JA,6.4 g,10.3 g,2.1 g,393.0 kJ,https://www.jumbo.com/producten/hak-mexicaanse-chili-protein-bowl-555g-648355ZK,,2025-12-09 15:43:09
Upfront Eiwit Milkshake Mango 330ML,"€2,29",JA,7.7 g,5.4 g,1.5 g,279.0 kJ,https://www.jumbo.com/producten/upfront-eiwit-milkshake-mango-330ml-707453FLS,,2025-12-09 15:43:11
Muscle Meat High Protein Meals Kipfilet Chunks Risotto Spinaci Spieropbouw 450 g,"€6,79",JA,10.3 g,12.7 g,4.5 g,553 Kj/ 132 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-risotto-spinaci-spieropbouw-450-g-587176SC,,2025-12-09 15:43:14
Muscle Meat High Protein Meals Kipfilet Saté Bami Goreng Spieropbouw 450 g,"€6,79",JA,11.7 g,12.9 g,2.5 g,511 Kj/ 12 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-sate-bami-goreng-spieropbouw-450-g-587173SC,,2025-12-09 15:43:17
Muscle Meat High Protein Meals Kipfilet Chunks Tortelloni Ricotta-Spinazie Spieropbouw 450 g,"€6,79",JA,11 g,9.7 g,5.1 g,542 Kj/ 130 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-tortelloni-ricotta-spinazie-spieropbouw-450-g-587177SC,,2025-12-09 15:43:19
Muscle Meat High Protein Meals Kipfilet Mexican Style Witte Rijst - Mais Mexicana Spieropbouw 450 g,"€6,79",JA,9 g,19.7 g,3.4 g,578 Kj/ 138 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-mexican-style-witte-rijst-mais-mexicana-spieropbouw-450-g-587175SC,,2025-12-09 15:43:22
Muscle Meat High Protein Meals Rundergehakt Taco Mezze Penne - Ratatouille Spieropbouw 450 g,"€6,79",JA,9.3 g,14.1 g,5.2 g,569 Kj/ 136 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-rundergehakt-taco-mezze-penne-ratatouille-spieropbouw-450-g-619650TRA,,2025-12-09 15:43:25
Muscle Meat High Protein Meals Kip Döner Kebab Aardappelgratin - Snijbonen Spieropbouw 450 g,"€6,79",JA,9.4 g,7.4 g,7.5 g,578 Kj/ 138 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kip-doner-kebab-aardappelgratin-snijbonen-spieropbouw-450-g-619651TRA,,2025-12-09 15:43:27
Muscle Meat High Protein Meals Kipfilet Chunks Risotto Fungi 450 g,"€6,79",JA,11.2 g,7.9 g,7.2 g,600 Kj/ 143 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-risotto-fungi-450-g-678897TRA,,2025-12-09 15:43:30
Muscle Meat High Protein Meals Kipfilet Paprika Chili Tuinerwten - Macaroni Kaas Spieropbouw 450 g,"€6,79",JA,11.8 g,10.6 g,2.9 g,498 Kj/ 119 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-paprika-chili-tuinerwten-macaroni-kaas-spieropbouw-450-g-587172SC,,2025-12-09 15:43:32
Muscle Meat High Protein Meals Kipfilet Chunks Gnocchi met Gegrilde Groenten 450 g,"€6,79",JA,10.3 g,12.3 g,5.5 g,590 Kj/ 141 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-gnocchi-met-gegrilde-groenten-450-g-686523TRA,,2025-12-09 15:43:35
Muscle Meat High Protein Meals Kipfilet Chunks Base Nasi Goreng Spieropbouw 450g,"€6,79",JA,10.8 g,10.8 g,2.5 g,437 Kj/ 104 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-base-nasi-goreng-spieropbouw-450g-698644TRA,,2025-12-09 15:43:38
Muscle Meat High Protein Meals Kipfilet Piri Piri Mediterraanse Gratin Spieropbouw 450 g,"€6,79",JA,10.1g,6.3g,3.3g,410Kj/ 98 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-piri-piri-mediterraanse-gratin-spieropbouw-450-g-678836TRA,,2025-12-09 15:43:40
Muscle Meat High Protein Meals Kipfilet Chunks Penne - Spinazie Mediterranea 500 g,"€6,79",JA,9.8 g,11.7 g,2.8 g,482 Kj/ 115 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-penne-spinazie-mediterranea-500-g-686522TRA,,2025-12-09 15:43:43
Muscle Meat High Protein Meals Kipfilet Teriyaki China Mix - Bruine Rijst 450 g,"€6,79",JA,8.9 g,9.7 g,1.1 g,358 Kj/ 87 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-teriyaki-china-mix-bruine-rijst-450-g-587174SC,,2025-12-09 15:43:45
Muscle Meat High Protein Meals Kipfilet Chunks Oriental Rijstmix 450 g,"€6,79",JA,9.3 g,9.3 g,2.8 g,427 Kj/ 102 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-oriental-rijstmix-450-g-686524TRA,,2025-12-09 15:43:48
Muscle Meat High Protein Meals Kipfilet Piri Piri Mexico Mix - Z. Aardappelpuree 450 g,"€6,79",JA,6.4 g,12 g,1 g,367 Kj/ 88 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-piri-piri-mexico-mix-z-aardappelpuree-450-g-587139SC,,2025-12-09 15:43:50
Muscle Meat High Protein Meals Kipfilet Paprika Chili Gnocchi Gratin Spieropbouw 450 g,"€6,79",JA,10.6 g,12 g,5.3 g,581 Kj/ 139 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-paprika-chili-gnocchi-gratin-spieropbouw-450-g-698691TRA,,2025-12-09 15:43:53
HAK Linzencurry Protein Bowl 555g,"€3,99",JA,6.3 g,6.7 g,1.7 g,319.0 kJ,https://www.jumbo.com/producten/hak-linzencurry-protein-bowl-555g-648354ZK,,2025-12-09 15:43:55
HAK Jackfruit Rendang Protein Bowl 555g,"€3,99",JA,6.4 g,8.2 g,2.8 g,388.0 kJ,https://www.jumbo.com/producten/hak-jackfruit-rendang-protein-bowl-555g-648357ZK,,2025-12-09 15:43:58
HAK Kikkererwten Tajine Protein Bowl 555g,"€3,99",JA,6.3 g,9.0 g,2.8 g,393.0 kJ,https://www.jumbo.com/producten/hak-kikkererwten-tajine-protein-bowl-555g-648356ZK,,2025-12-09 15:44:01
John West Protein Bowl Tonijn Bonen MSC 220 g,"€3,95",JA,13.0 g,8.0 g,6.6 g,635.0 kJ,https://www.jumbo.com/producten/john-west-protein-bowl-tonijn-bonen-msc-220-g-648623DS,,2025-12-09 15:44:03
John West Protein Bowl Tonijn Quinoa MSC 220 g,"€3,95",JA,13.0 g,7.3 g,8.2 g,677.0 kJ,https://www.jumbo.com/producten/john-west-protein-bowl-tonijn-quinoa-msc-220-g-648589DS,,2025-12-09 15:44:06
"Sam Mills Glutenvrije Fusilli van kikkererwten en gele erwten, eiwitrijk en glutenvrij 250g","€3,69",JA,40g,43g,2.8g,1556kJ / 368kcal,https://www.jumbo.com/producten/sam-mills-glutenvrije-fusilli-van-kikkererwten-en-gele-erwten-eiwitrijk-en-glutenvrij-250g-701325ZK,,2025-12-09 15:44:08
"Sam Mills Penne van rode linzen & gele erwten, eiwitrijk en glutenvrij 250g","€3,69",JA,40g,45g,1.2g,1525kJ / 360kcal,https://www.jumbo.com/producten/sam-mills-penne-van-rode-linzen-gele-erwten-eiwitrijk-en-glutenvrij-250g-701324STK,,2025-12-09 15:44:11
Jumbo Crackers High Protein met Pompoenpitten en Zonnebloempitten 8 Stuks,"€2,29",JA,30.8 g,13.8 g,28.0 g,kJ 1941,https://www.jumbo.com/producten/jumbo-crackers-high-protein-met-pompoenpitten-en-zonnebloempitten-8-stuks-660871ZK,,2025-12-09 15:44:13
TastyBasics Low Carb - High Protein Cracker Zonnebloem,"€3,09",JA,35 g,14 g,26 g,1876 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-zonnebloem-565462ZK,,2025-12-09 15:44:16
TastyBasics Low Carb - High Protein Cracker Maanzaad,"€3,26",JA,36 g,12 g,29 g,1962 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-maanzaad-618595ZK,,2025-12-09 15:44:18
Wasa Protein Wheat Knackebrod 200g,"€2,37",JA,,,,,https://www.jumbo.com/producten/wasa-protein-wheat-knackebrod-200g-691881ZK,,2025-12-09 15:44:21
TastyBasics Low Carb - High Protein Cracker Meerzaden,"€3,09",JA,36 g,15 g,30 g,2072 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-meerzaden-565463ZK,,2025-12-09 15:44:24
Bolletje Proteïne Knäckebröd 22% Eiwit 4 x 4 Stuks 255 g,"€2,12",JA,,,,,https://www.jumbo.com/producten/bolletje-proteine-knackebrod-22-eiwit-4-x-4-stuks-255-g-575273DS,,2025-12-09 15:44:26
BitesWeLove protein puff paprika bio 75g,"€2,39",JA,20.0 g,48.0 g,12.0 g,1643.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puff-paprika-bio-75g-711863ZK,,2025-12-09 15:44:29
BitesWeLove Protein Puff Zout & Peper BIO 75g,"€2,39",JA,22.0 g,48.0 g,11.0 g,1612.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puff-zout-peper-bio-75g-711862ZK,,2025-12-09 15:44:31
BitesWeLove Protein Puffs Vegan Cheese 75g,"€2,39",JA,21.0 g,49.0 g,9.2 g,1585.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puffs-vegan-cheese-75g-711864ZK,,2025-12-09 15:44:34
Nakd. Protein Cocoa Hazelnut 3x45g,"€3,75",JA,16.1 g,32.6 g,21.7 g,1754.0 kJ,https://www.jumbo.com/producten/nakd-protein-cocoa-hazelnut-3x45g-645667DS,,2025-12-09 15:44:36
HiPRO Protein Drink Vanille Cookies 6 x 300 ml,"€14,94",JA,8.3 g,5.5 g,0.5 g,252.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-vanille-cookies-6-x-300-ml-433887DSL,,2025-12-09 15:44:39
Nxt Level Proteine Caramel Cookie Bar 55g,"€2,47",JA,36.0 g,27.0 g,14.0 g,1516.0 kJ,https://www.jumbo.com/producten/nxt-level-proteine-caramel-cookie-bar-55g-638342PAK,,2025-12-09 15:44:41
Killerbody Protein Pancakes 225 g,"€2,49",JA,25.5 g,60.0 g,1.8 g,1474.0 kJ,https://www.jumbo.com/producten/killerbody-protein-pancakes-225-g-458510DS,,2025-12-09 15:44:44
Fitmeals High Protein Pancakes Naturel 160g,"€2,99",JA,13.8 g,29.0 g,7.4 g,995.0 kJ,https://www.jumbo.com/producten/fitmeals-high-protein-pancakes-naturel-160g-612700DS,,2025-12-09 15:44:47
Fitmeals  High Protein Pancakes Cacao 160g,"€2,89",JA,13.0 g,32.7 g,7.7 g,1055.0 kJ,https://www.jumbo.com/producten/fitmeals-high-protein-pancakes-cacao-160g-612701DS,,2025-12-09 15:44:49
TastyBasics Low Carb - High Protein Granola Noten,"€3,87",JA,28 g,18 g,28 g,1969 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-noten-419500DS,,2025-12-09 15:44:52
Holie's Granola Protein Crunch 350g,"€3,87",JA,20.0 g,30.0 g,24.0 g,1852.0 kJ,https://www.jumbo.com/producten/holie-s-granola-protein-crunch-350g-493509ZK,,2025-12-09 15:44:54
Holie's Crunchy Muesli Protein Chocolate 400g,"€4,15",JA,22.0 g,38.0 g,16.0 g,1792.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-chocolate-400g-625095DS,,2025-12-09 15:44:57
Holie's Crunchy Muesli Protein 400g,"€4,15",JA,23.0 g,36.0 g,20.0 g,1877.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-400g-606354DS,,2025-12-09 15:44:59
TastyBasics Low Carb - High Protein Granola Naturel,"€3,77",JA,32 g,21 g,16 g,1649 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-naturel-416938DS,,2025-12-09 15:45:02
TastyBasics Low Carb - High Protein Granola Choco Noten,"€3,95",JA,21 g,27 g,20 g,1764 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-choco-noten-646903DS,,2025-12-09 15:45:05
"Holie's Granola Protein Crunch Hazelnuts, Almonds & Seeds 6 x 350 g","€22,99",JA,20.0 g,30.0 g,24.0 g,1852.0 kJ,https://www.jumbo.com/producten/holie-s-granola-protein-crunch-hazelnuts-almonds-seeds-6-x-350-g-493509DSL,,2025-12-09 15:45:07
TastyBasics Low Carb - High Protein Granola Aardbei,"€3,95",JA,31 g,24 g,15 g,1677 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-aardbei-676487DS,,2025-12-09 15:45:10
Holie's Crunchy Muesli Protein Speculaas 400g,"€4,15",JA,22.0 g,38.0 g,17.0 g,1823.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-speculaas-400g-676006DS,,2025-12-09 15:45:12
Holie's Crunchy Muesli Protein Peanut Butter 400 g,"€4,15",JA,25 g,32 g,23 g,1944 kJ / 466 kcal,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-peanut-butter-400-g-676007DS,,2025-12-09 15:45:15
Holie's Granola Protein Peanut Butter 350g,"€3,95",JA,20 g,27 g,28 g,1944 kJ / 467 kcal,https://www.jumbo.com/producten/holie-s-granola-protein-peanut-butter-350g-674151ZK,,2025-12-09 15:45:18
Holie's Crunchy Muesli Protein Coconut Cacao 400 g,"€4,15",JA,22 g,38 g,17 g,1813 kJ / 434 kcal,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-coconut-cacao-400-g-676309DS,,2025-12-09 15:45:20
Holie's Gluten Free Granola Protein Nuts 330 g,"€4,19",JA,22 g,28 g,25 g,1865 kJ / 455 kcal,https://www.jumbo.com/producten/holie-s-gluten-free-granola-protein-nuts-330-g-710419ZK,,2025-12-09 15:45:23
Quaker Oats Express Havermout Proteine Naturel 302 gr,"€3,46",JA,22 g,53 g,7.6 g,1614 kJ,https://www.jumbo.com/producten/quaker-oats-express-havermout-proteine-naturel-302-gr-269996STK,,2025-12-09 15:45:25
Danone Skyr Naturel High Protein 0% Vet 450 g,"€1,99",JA,9.0 g,3.4 g,0.1 g,261.0 kJ,https://www.jumbo.com/producten/danone-skyr-naturel-high-protein-0-vet-450-g-697181STK,,2025-12-09 15:45:28
Ehrmann High Protein Vanilla Mousse 200 g,"€2,19",JA,,,,322kJ/76kcal,https://www.jumbo.com/producten/ehrmann-high-protein-vanilla-mousse-200-g-576943CUP,,2025-12-09 15:45:31
Lindahls Protein Mango-Passievruchtsmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-mango-passievruchtsmaak-450-g-699256POT,,2025-12-09 15:45:33
Lindahls Protein Kvarg Vanillesmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-vanillesmaak-450-g-699253POT,,2025-12-09 15:45:36
HiPRO Protein Skyr Stijl Vanille 450g,"€2,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-skyr-stijl-vanille-450g-478256CUP,,2025-12-09 15:45:38
Melkunie Protein Vanilla Quark 200 g,"€1,49",JA,10.0 g,6.9 g,0.2 g,312.0 kJ,https://www.jumbo.com/producten/melkunie-protein-vanilla-quark-200-g-593943CUP,,2025-12-09 15:45:41
Lindahls Protein Kvarg Stracciatella 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-stracciatella-450-g-699254POT,,2025-12-09 15:45:43
Jude's Schepijs Protein Chocolade Brownie 460ml,"€6,49",JA,4.1 g,15.0 g,3.8 g,486.0 kJ,https://www.jumbo.com/producten/jude-s-schepijs-protein-chocolade-brownie-460ml-699467CUP,,2025-12-09 15:45:46
Alpro Protein Sojadrink Chocolade Smaak 1L,"€2,99",JA,5.0 g,5.3 g,2.8 g,291 kJ / 69 kcal,https://www.jumbo.com/producten/alpro-protein-sojadrink-chocolade-smaak-1l-495543STK,,2025-12-09 15:45:49
HiPRO Protein Mousse Dark Chocolate 200 g,"€2,49",JA,10.0 g,5.3 g,2.3 g,355.0 kJ,https://www.jumbo.com/producten/hipro-protein-mousse-dark-chocolate-200-g-578678CUP,,2025-12-09 15:45:51
Melkunie Protein Food to Go Chocolate Caramel Flavour 500 ml,"€3,49",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-food-to-go-chocolate-caramel-flavour-500-ml-709780FLS,,2025-12-09 15:45:54
Oppo Pro High Protein Chocolate Brownie 150g,"€3,45",JA,10.0g,15.1g,5.0g,652 kJ,https://www.jumbo.com/producten/oppo-pro-high-protein-chocolate-brownie-150g-683156CUP,,2025-12-09 15:45:56
Nature Valley Protein Chocolate & Cranberries 4 x 40 g,"€4,25",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-chocolate-cranberries-4-x-40-g-579773DS,,2025-12-09 15:45:59
Alpro Plantaardige Variatie Op Yoghurt Aardbei 500g,"€2,79",JA,"3,6 g","8,1 g","2,1 g",286 kJ / 68 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-aardbei-500g-352668CUP,,2025-12-09 15:14:04
Alpro Plantaardige Variatie Op Yoghurt Bosbes 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-bosbes-500g-44504BAK,,2025-12-09 15:14:07
Alpro Plantaardige Variatie Op Yoghurt Kers 500g,"€2,79",JA,"3,7 g","9,4 g","2,0 g",314 kJ / 75 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-kers-500g-86958CUP,,2025-12-09 15:14:09
Alpro Plantaardige Variatie Op Yoghurt Perzik 500g,"€2,79",JA,"3,6 g","8,3 g","2,1 g",292 kJ / 69 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-perzik-500g-522825BAK,,2025-12-09 15:14:12
Alpro Plantaardige Variatie Op Yoghurt Vanille 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-vanille-500g-10329BKR,,2025-12-09 15:14:15
Alpro Plantaardige Variatie Op Griekse Stijl Yoghurt 3.4% Vet 400g,"€2,49",JA,"4,0 g","2,5 g","3,4 g",256 kJ / 61 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-griekse-stijl-yoghurt-34-vet-400g-563545CUP,,2025-12-09 15:14:17
Alpro Mild & Creamy Naturel Plantaardige Variatie Op Yoghurt 755g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-naturel-plantaardige-variatie-op-yoghurt-755g-486574PAK,,2025-12-09 15:14:20
Alpro Plantaardige Variatie Op Yoghurt Naturel 500g,"€2,49",JA,"4,0 g","2,1 g","2,3 g",212 kJ / 51 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-500g-45178POT,,2025-12-09 15:14:22
Alpro Plantaardige Variatie Op Yoghurt Naturel Zonder Suiker 500g,"€2,49",JA,"4,0 g",0 g,"2,3 g",177 kJ / 42 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-zonder-suiker-500g-192073BAK,,2025-12-09 15:14:25
Alpro Mild & Creamy Citroen-Limoen Variatie Op Yoghurt 750g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-citroen-limoen-variatie-op-yoghurt-750g-134192PAK,,2025-12-09 15:14:28
Alpro Plantaardige Variatie op Kwark Mango 400 g,"€2,89",JA,"5,2 g","8,4 g","3,0 g",354 kJ / 84 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-kwark-mango-400-g-563539CUP,,2025-12-09 15:14:30
Alpro Plantaardige Variatie Op Kwark Aardbei 400g,"€2,89",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-kwark-aardbei-400g-499176CUP,,2025-12-09 15:14:33
Campina Magere Yoghurt 1 L,"€1,69",JA,,,,,https://www.jumbo.com/producten/campina-magere-yoghurt-1-l-527014PAK,,2025-12-09 15:14:36
Jumbo Yoghurt Griekse Stijl Naturel 10% Vet 1KG,"€2,35",JA,3.4 g,4.2 g,10.0 g,kJ 507,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-naturel-10-vet-1kg-293850EM,,2025-12-09 15:14:38
"Campina High Protein Greek Yoghurt 1,5% Fat 1 kg","€3,69",JA,,,,,"https://www.jumbo.com/producten/campina-high-protein-greek-yoghurt-1,5-fat-1-kg-678562CUP",,2025-12-09 15:14:41
Magere yoghurt 1 L,"€0,83",JA,4.8 g,4.1 g,0.1 g,155.0 kJ,https://www.jumbo.com/producten/magere-yoghurt-1-l-619617PAK,,2025-12-09 15:14:44
Halfvolle Vanille Yoghurt 1 L,"€1,59",JA,"3,1 g","12,6 g","1,5 g",335 kJ / 80 kcal,https://www.jumbo.com/producten/halfvolle-vanille-yoghurt-1-l-257952PAK,,2025-12-09 15:14:46
Optimel Drinkyoghurt Mango Passievrucht 0% Vet 1L,"€2,19",JA,,,,,https://www.jumbo.com/producten/optimel-drinkyoghurt-mango-passievrucht-0-vet-1l-65649PAK,,2025-12-09 15:14:49
Volle Yoghurt 1 L,"€1,39",JA,4.6 g,4.1 g,3.0 g,260.0 kJ,https://www.jumbo.com/producten/volle-yoghurt-1-l-619640PAK,,2025-12-09 15:14:52
Halfvolle Yoghurt 1 L,"€1,18",JA,4.8 g,4.0 g,1.6 g,209.0 kJ,https://www.jumbo.com/producten/halfvolle-yoghurt-1-l-619619PAK,,2025-12-09 15:14:54
"Jumbo Fris Fruitige Aardbeien Magere Yoghurt 0,1% Vet 1 L","€1,69",JA,3.0 g,11.6 g,0.1 g,kJ 266,"https://www.jumbo.com/producten/jumbo-fris-fruitige-aardbeien-magere-yoghurt-0,1-vet-1-l-304575PAK",,2025-12-09 15:14:57
"Jumbo Fris Fruitige Perzik Magere Yoghurt 0,1% Vet 1 L","€1,46",JA,3.0 g,11.5 g,0.1 g,kJ 263,"https://www.jumbo.com/producten/jumbo-fris-fruitige-perzik-magere-yoghurt-0,1-vet-1-l-304574PAK",,2025-12-09 15:14:59
Jumbo Milde Halfvolle Yoghurt 1 L,"€1,59",JA,"4,2 g","4,3 g","1,5 g",kJ 210,https://www.jumbo.com/producten/jumbo-milde-halfvolle-yoghurt-1-l-373109PAK,,2025-12-09 15:15:02
"Jumbo Yoghurt Griekse Stijl 0,1% Vet 1 kg","€2,25",JA,"5,5 g","4,2 g","0,1 g",kJ 176,"https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-0,1-vet-1-kg-612036EM",,2025-12-09 15:15:05
Jumbo Biologische Halfvolle Yoghurt 1 L,"€1,69",JA,"4,2 g","4,3 g","1,5 g",210 kJ,https://www.jumbo.com/producten/jumbo-biologische-halfvolle-yoghurt-1-l-420600PAK,,2025-12-09 15:15:07
"Jumbo Fris Fruitige Bosvruchten Magere Yoghurt 0,1% Vet 1 L","€1,75",JA,3.1 g,11.6 g,0.1 g,kJ 268,"https://www.jumbo.com/producten/jumbo-fris-fruitige-bosvruchten-magere-yoghurt-0,1-vet-1-l-304573PAK",,2025-12-09 15:15:10
"Jumbo Magere Yoghurt 1,5L","€1,99",JA,"4,5 g","4,0 g","0,3 g",kJ 156 / kcal 37,"https://www.jumbo.com/producten/jumbo-magere-yoghurt-1,5l-556405PAK",,2025-12-09 15:15:13
Campina Volle Yoghurt 1 L,"€1,95",JA,,,,,https://www.jumbo.com/producten/campina-volle-yoghurt-1-l-526937PAK,,2025-12-09 15:15:15
Jumbo Yoghurt Griekse Stijl Aardbei 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-1-kg-430618EM,,2025-12-09 15:15:18
Jumbo Volle Yoghurt 1L,"€1,69",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-volle-yoghurt-1l-235186PAK,,2025-12-09 15:15:21
Jumbo Yoghurt Griekse Stijl Perzik Passievrucht 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-perzik-passievrucht-1-kg-430751EM,,2025-12-09 15:15:23
Campina Milde Halfvolle Yoghurt 1 L,"€1,89",JA,4 g,3.8 g,1.5 g,206 kJ / 49 kcal,https://www.jumbo.com/producten/campina-milde-halfvolle-yoghurt-1-l-31677PAK,,2025-12-09 15:15:26
Jumbo Yoghurtje Fruit met Aardbeien 200 g,"€1,39",JA,"3,9 g","11,9 g","2,8 g",kJ 375 / kcal 89,https://www.jumbo.com/producten/jumbo-yoghurtje-fruit-met-aardbeien-200-g-578580STK,,2025-12-09 15:15:28
Jumbo Biologisch Volle Yoghurt 1 L,"€1,79",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-biologisch-volle-yoghurt-1-l-421677PAK,,2025-12-09 15:15:31
Jumbo Yoghurt Griekse Stijl Aardbei 4 x 150 g,"€2,49",JA,"2,3 g","12,4 g","7,2 g",kJ 518/kcal 124,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-4-x-150-g-561930PAK,,2025-12-09 15:15:33
Jumbo Yoghurt Griekse Stijl Vanillesmaak 1 kg,"€2,49",JA,"2,6 g","12,3 g","8,2 g",kJ 557 / kcal 133,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-vanillesmaak-1-kg-500820EM,,2025-12-09 15:15:36
